year,value,indicator_id,country,unit,indicador_nombre,country_name,codigo_indicador
2006,12.5,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2006,12.49,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2007,9.47,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2007,9.5,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2008,8.3,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2008,8.34,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2009,8.78,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2009,8.8,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2011,5.3,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2011,5.3,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2012,6.47,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2012,6.5,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2013,5.2,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2013,5.17,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2014,4.3,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2014,4.28,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2015,4.63,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2015,4.6,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2016,5.6,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2016,5.62,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2017,4.93,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2017,4.9,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2018,3.27,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2018,3.3,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2019,1.9,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2019,1.92,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2020,3.12,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2020,3.1,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2021,2.0,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
2021,1.96,WB_PIP_HEADCOUNT_IPL,BOL,PT,Pobreza Extrema ($2.15/día),,WB_PIP_HEADCOUNT_IPL
1990,15.12,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1990,15.1,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1992,26.3,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1992,26.3,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1997,26.07,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1997,26.1,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1999,32.0,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1999,31.97,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2000,35.42,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2000,35.4,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2001,29.8,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2001,29.79,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2002,31.63,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2002,31.6,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2004,21.1,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2004,21.1,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2005,25.73,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2005,25.7,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2006,22.2,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2006,22.24,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2007,18.57,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2007,18.6,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2008,15.1,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2008,15.12,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2009,14.05,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2009,14.1,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2011,10.4,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2011,10.36,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2012,10.98,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2012,11.0,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2013,9.3,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2013,9.31,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2014,9.0,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2014,8.99,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2015,8.58,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2015,8.6,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2016,10.1,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2016,10.07,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2017,9.18,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2017,9.2,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2018,7.7,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2018,7.7,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2019,5.7,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2019,5.69,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2020,6.41,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2020,6.4,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2021,5.4,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
2021,5.4,WB_PIP_HEADCOUNT_LMIC,BOL,PT,Pobreza Moderada ($3.65/día),,WB_PIP_HEADCOUNT_LMIC
1990,42.18,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
1990,42.2,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
1992,58.2,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
1992,58.2,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
1997,46.07,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
1997,46.1,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
1999,50.0,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
1999,50.04,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2000,55.82,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2000,55.8,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2001,51.8,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2001,51.78,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2002,53.81,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2002,53.8,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2004,45.8,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2004,45.81,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2005,47.21,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2005,47.2,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2006,42.1,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2006,42.08,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2007,41.16,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2007,41.2,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2008,33.9,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2008,33.92,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2009,28.9,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2009,28.9,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2011,23.5,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2011,23.47,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2012,23.67,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2012,23.7,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2013,21.8,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2013,21.76,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2014,20.2,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2014,20.19,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2015,20.48,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2015,20.5,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2016,22.0,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2016,21.97,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2017,21.02,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2017,21.0,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2018,19.1,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2018,19.1,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2019,15.5,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2019,15.54,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2020,17.29,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2020,17.3,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2021,15.2,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2021,15.18,WB_PIP_HEADCOUNT_UMIC,BOL,PT,Pobreza ($6.85/día),,WB_PIP_HEADCOUNT_UMIC
2011,13.7,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2012,12.7,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2013,12.1,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2014,11.8,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2015,11.2,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2016,12.6,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2017,10.8,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2018,9.6,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2019,6.5,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2020,7.6,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2021,5.5,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2022,5.5,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2023,5.4,SI.POV.MPWB,BOL,,Pobreza Multidimensional,Bolivia,SI.POV.MPWB
2011,3.80715,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2012,3.12683,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2013,3.13306,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2014,4.3438,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2015,3.7643,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2016,3.04668,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2017,1.22807,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2018,1.55656,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2019,2.18443,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2020,2.05767,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2021,1.38387,WB_MPM_EDU_ENROLL,BOL,PT,Privación Educación - Matrícula,,WB_MPM_EDU_ENROLL
2011,17.6262,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2012,17.6589,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2013,16.7168,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2014,18.365,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2015,15.2228,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2016,16.8422,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2017,16.182,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2018,15.3138,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2019,13.383,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2020,13.9759,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2021,12.2812,WB_MPM_EDU_ATT,BOL,PT,Privación Educación - Logro,,WB_MPM_EDU_ATT
2011,11.5377,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2012,8.873,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2013,9.54623,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2014,9.60156,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2015,8.37274,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2016,7.27893,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2017,7.21888,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2018,6.23139,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2019,4.87155,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2020,4.37238,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2021,2.93862,WB_MPM_ELEC,BOL,PT,Privación Electricidad,,WB_MPM_ELEC
2011,17.8736,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2012,8.89974,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2013,8.69394,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2014,7.88311,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2015,10.8247,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2016,11.6825,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2017,9.68505,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2018,9.39219,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2019,7.38695,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2020,6.55371,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2021,9.90372,WB_MPM_WATER,BOL,PT,Privación Agua Potable,,WB_MPM_WATER
2011,19.1615,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2012,27.6342,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2013,26.4322,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2014,32.5753,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2015,26.6481,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2016,21.675,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2017,22.2947,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2018,19.7796,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2019,16.3232,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
2020,17.7154,WB_MPM_SANT,BOL,PT,Privación Saneamiento,,WB_MPM_SANT
